"Net","Name","X Coord","Y Coord","Side","Hole Size","Type"
"I2C1_SDA","TP19-1","224.2647mm","176.8852mm","Top","0mm","Surface mount"
"Enable_V","TP7-1","208.3897mm","185.6482mm","Top","0mm","Surface mount"
"VIN","TP6-1","201.5226mm","191.3314mm","Top","0mm","Surface mount"
"nRST","TP16-1","223.8837mm","175.1072mm","Top","0mm","Surface mount"
"Motor_U","TP9-1","211.4377mm","186.5372mm","Top","0mm","Surface mount"
"+5V","TP15-1","204.9482mm","191.6002mm","Top","0mm","Surface mount"
"SWCLK-BOOT0","TP4-1","210.6757mm","181.5842mm","Top","0mm","Surface mount"
"Motor_V","TP10-1","212.8267mm","187.3132mm","Top","0mm","Surface mount"
"I2C2_SDA","TP3-1","218.1687mm","192.2522mm","Top","0mm","Surface mount"
"I2C2_SCL","TP1-1","219.4387mm","191.1092mm","Top","0mm","Surface mount"
"+3V3","TP14-1","215.6803mm","176.8852mm","Top","0mm","Surface mount"
"nFAULT","TP13-1","209.0247mm","180.6952mm","Top","0mm","Surface mount"
"Enable_W","TP8-1","210.0407mm","185.9022mm","Top","0mm","Surface mount"
"Enable_U","TP5-1","208.8977mm","184.5052mm","Top","0mm","Surface mount"
"Motor_W","TP11-1","213.0717mm","188.5869mm","Top","0mm","Surface mount"
"nSLEEP","TP12-1","214.0767mm","179.1672mm","Top","0mm","Surface mount"
"SWDIO","TP2-1","212.0767mm","182.3742mm","Top","0mm","Surface mount"
"GND","TP17-1","200.8967mm","189.3312mm","Top","0mm","Surface mount"
"I2C1_SCL","TP18-1","222.8677mm","176.8852mm","Top","0mm","Surface mount"
