Altium Designer Pick and Place Locations
C:\Users\Lukas\AppData\Local\TempReleases\Snapshot\5\Variant 951.xxxx\Pick Place\XXX.XXXXPCB_Assy_Revision_Knobber.txt

========================================================================================================================
File Design Information:

Date:       24.03.24
Time:       02:06
Revision:   Not in VersionControl
Variant:    951.xxxx
Units used: mm

Designator Comment                            Layer       Footprint                    Center-X(mm) Center-Y(mm) Rotation Description                                       
R17        "Res 5k1 0603"                     BottomLayer R-0603_1608_050_L_RF         1.5000       12.0000      270      "Res SMD 5k1 1% 0.1W 0603"                        
R16        "Res 5k1 0603"                     BottomLayer R-0603_1608_050_L_RF         -1.5000      12.0000      270      "Res SMD 5k1 1% 0.1W 0603"                        
R6         "Res 10k 0603"                     TopLayer    R-0603_1608_050_L_RF         -2.4130      -1.1430      0        "Res SMD 10k 1% 0.1W 0603"                        
R4         "Res 1k 0603"                      TopLayer    R-0603_1608_050_L_RF         -6.3500      -5.9690      0        "Res SMD 1k 1% 0.1W 0603"                         
R1         "Res 10k 0603"                     TopLayer    R-0603_1608_050_L_RF         -6.3500      -4.6990      180      "Res SMD 10k 1% 0.1W 0603"                        
X1         "CONN HEADER 2POS 1ROW THT 2.54MM" TopLayer    X-0508X0254_R_WE_61300211121 -9.9060      -9.9060      315      "CONN HEADER 2POS 1ROW THT 2.54MM WE 61300211121" 
V3         APA102C                            BottomLayer V_2020_P6_N_RF               -3.0000      -7.6370      0        "RGB LED SPI Interface"                           
R3         "Res 4k7 0603"                     BottomLayer R-0603_1608_050_L_RF         5.0800       0.6350       0        "Res SMD 4k7 1% 0.1W 0603"                        
R2         "Res 4k7 0603"                     BottomLayer R-0603_1608_050_L_RF         5.0800       -0.6350      0        "Res SMD 4k7 1% 0.1W 0603"                        
D2         AS5600                             BottomLayer SOIC8_N_RF                   0.0000       0.0000       0        "IC Sensor Rotation Magnet 12bit"                 
C1         "Cap 1u 0603"                      BottomLayer C-0603_1608_095_L_RF         0.0000       -3.8100      180      "Cap Cer SMD 1u 16V 10% 0603 X7R"                 
C6         "Cap 100n 0603"                    BottomLayer C-0603_1608_095_L_RF         3.0000       -9.6370      180      "Cap Cer SMD 100n 100V 10% 0603 X7R"              
X4         ""                                 TopLayer    Lötpad_2x3                   -13.4050     -2.5000      90       "Solderpad 2mm x 3mm"                             
X3         ""                                 TopLayer    Lötpad_2x3                   -13.9050     0.0000       90       "Solderpad 2mm x 3mm"                             
X2         ""                                 TopLayer    Lötpad_2x3                   -13.4050     2.5000       90       "Solderpad 2mm x 3mm"                             
X5         105450-0101                        TopLayer    105450-0101                  0.0000       10.7000      180      "CONN USB-C 16pin"                                
