Altium Designer Pick and Place Locations
C:\Users\Lukas\AppData\Local\TempReleases\Snapshot\1\Variant 951.xxxx\Pick Place\XXX.XXXXPCB_Assy_Revision_Knobber.csv

========================================================================================================================
File Design Information:

Date:       23.02.25
Time:       17:04
Revision:   Not in VersionControl
Variant:    951.xxxx
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"S1","K2-1107ST-A4DW-06","TopLayer","K2-1107ST-A4DW-06","0.0000","0.0000","90","BUTTON tactile 12V 50mA"
"C13","Cap 100p 0603","BottomLayer","C-0603_1608_095_L_RF","12.7000","6.2000","180","Cap Cer SMD 100p 50V 5% 0603 C0G"
"D5","5V","BottomLayer","SOD-923_N_RF","-1.5000","5.5000","0","Diode ESD 5V"
"D4","5V","BottomLayer","SOD-923_N_RF","-1.5000","6.9000","0","Diode ESD 5V"
"D1","STM32L412KBT6","TopLayer","LQFP32_N_RF","9.0000","0.6000","180","IC MCU STM32"
"X6","CONN HEADER 4POS 1ROW THT 2.54MM","TopLayer","X-0101X0025_R_FCI_77311-118-04LF","9.4000","-9.4000","45","CONN HEADER 4POS 1ROW THT 2.54MM FCI 77311-118-04LF"
"C12","Cap 100p 0603","BottomLayer","C-0603_1608_095_L_RF","13.5000","3.7500","180","Cap Cer SMD 100p 50V 5% 0603 C0G"
"R17","Res 5k1 0603","BottomLayer","R-0603_1608_050_L_RF","1.5000","12.0000","270","Res SMD 5k1 1% 0.1W 0603"
"R16","Res 5k1 0603","BottomLayer","R-0603_1608_050_L_RF","-1.5000","12.0000","270","Res SMD 5k1 1% 0.1W 0603"
"R6","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","8.8000","-2.8000","0","Res SMD 10k 1% 0.1W 0603"
"R4","Res 1k 0603","TopLayer","R-0603_1608_050_L_RF","-6.3500","-5.9690","0","Res SMD 1k 1% 0.1W 0603"
"R1","Res 10k 0603","TopLayer","R-0603_1608_050_L_RF","-6.3500","-4.6990","180","Res SMD 10k 1% 0.1W 0603"
"X1","CONN HEADER 2POS 1ROW THT 2.54MM","TopLayer","X-0508X0254_R_WE_61300211121","-9.9060","-9.9060","315","CONN HEADER 2POS 1ROW THT 2.54MM WE 61300211121"
"V3","APA102C","BottomLayer","V_2020_P6_N_RF","-3.0000","-7.6370","0","RGB LED SPI Interface"
"R3","Res 4k7 0603","BottomLayer","R-0603_1608_050_L_RF","5.9000","-1.2000","270","Res SMD 4k7 1% 0.1W 0603"
"R2","Res 4k7 0603","BottomLayer","R-0603_1608_050_L_RF","4.6000","-1.2000","270","Res SMD 4k7 1% 0.1W 0603"
"D2","AS5600","BottomLayer","SOIC8_N_RF","0.0000","0.0000","0","IC Sensor Rotation Magnet 12bit"
"C1","Cap 1u 0603","BottomLayer","C-0603_1608_095_L_RF","0.0000","-3.8100","180","Cap Cer SMD 1u 16V 10% 0603 X7R"
"C6","Cap 100n 0603","BottomLayer","C-0603_1608_095_L_RF","3.0000","-9.6370","180","Cap Cer SMD 100n 100V 10% 0603 X7R"
"X4","","TopLayer","Lötpad_2x3","-13.4050","-2.5000","90","Solderpad 2mm x 3mm"
"X3","","TopLayer","Lötpad_2x3","-13.9050","0.0000","90","Solderpad 2mm x 3mm"
"X2","","TopLayer","Lötpad_2x3","-13.4050","2.5000","90","Solderpad 2mm x 3mm"
"X5","105450-0101","TopLayer","105450-0101","0.0000","10.7000","180","CONN USB-C 16pin"
"V2","APA102C","BottomLayer","V_2020_P6_N_RF","3.0000","-7.6370","0","RGB LED SPI Interface"
"V1","MBR0520L","TopLayer","SOD123_L_RF","-3.9370","5.7150","180","Diode Schottky 20V 0.5A SOD123"
"R12","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","-8.4000","1.6000","0","Res SMD 10k 1% 0.1W 0603"
"R11","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","-8.4000","0.4000","0","Res SMD 10k 1% 0.1W 0603"
"R10","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","-8.4000","-0.8000","0","Res SMD 10k 1% 0.1W 0603"
"R9","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","8.8000","5.0000","180","Res SMD 10k 1% 0.1W 0603"
"R8","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","8.8000","3.5000","180","Res SMD 10k 1% 0.1W 0603"
"R7","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","8.8000","2.0000","180","Res SMD 10k 1% 0.1W 0603"
"R13","Res 1k5 0603","BottomLayer","R-0603_1608_050_L_RF","-0.4000","9.0000","180","Res SMD 1k5 1% 0.1W 0603"
"R15","Res 10k 0603","BottomLayer","R-0603_1608_050_L_RF","11.6000","-0.9000","90","Res SMD 10k 1% 0.1W 0603"
"R5","Res 10k 0603","TopLayer","R-0603_1608_050_L_RF","-2.4130","-4.6990","0","Res SMD 10k 1% 0.1W 0603"
"J1","Solder jumper 2Pin","TopLayer","J-1206_Solderjumper_2Pin","-7.4930","5.7150","0","Solder jumper 2Pin"
"D3","MP6543HGL","TopLayer","QFN24_5x7_N_RF","-8.6550","0.0000","270","Motor Driver 3-Phase 3-22V 2A"
"C5","Cap 100n 0603","BottomLayer","C-0603_1608_095_L_RF","-3.0000","-9.6370","180","Cap Cer SMD 100n 100V 10% 0603 X7R"
"C9","Cap 100n 0603","BottomLayer","C-0603_1608_095_L_RF","13.5000","0.0000","180","Cap Cer SMD 100n 100V 10% 0603 X7R"
"C7","Cap 100n 0603","BottomLayer","C-0603_1608_095_L_RF","12.4000","-2.8000","45","Cap Cer SMD 100n 100V 10% 0603 X7R"
"C4","CAP 10u 16V 0805","TopLayer","C-0805_2012_145_L_RF","-6.2230","-3.1750","180","Cap Cer SMD 10u 16V 10% 0805 X5R"
"C3","Cap 1u 0603","TopLayer","C-0603_1608_095_L_RF","-9.5250","-3.1750","0","Cap Cer SMD 1u 16V 10% 0603 X7R"
"C2","CAP 10u 1210","TopLayer","C-1210_3225_230_L_RF","-11.1760","-5.4610","0","CAP CER 10uF 50V X7S 1210"
"C8","Cap 1u 0603","BottomLayer","C-0603_1608_095_L_RF","5.6000","4.0000","225","Cap Cer SMD 1u 16V 10% 0603 X7R"
"C11","Cap 100p 0603","BottomLayer","C-0603_1608_095_L_RF","13.5000","2.5000","180","Cap Cer SMD 100p 50V 5% 0603 C0G"
"C10","Cap 100p 0603","BottomLayer","C-0603_1608_095_L_RF","13.5000","1.2500","180","Cap Cer SMD 100p 50V 5% 0603 C0G"
